MPID,Name,Constituency,Region,Party,Gender,Legislature,Chamber,Session,Activity,Date,Description,Category,Status,Purpose,Organization
LWMP-02-0264,Sai Oo Kham,Hseni,Shan,SNLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
LWMP-02-0225,Dr. Daw Than Ngwe,Taunggyi,Shan,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
LWMP-02-0169,U Oo Hla Saw,Mrauk-U,Rakhine,ANP,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
NA,Lt.Col Myo Khaing,NA,NA,Military,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
LWMP-02-0179,Daw Aye Aye Mu (or) Shar Mi,Kale,Sagaing,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
LWMP-02-0081,U Lamar Naw Aung,Injangyang,Kachin,KDP,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
LWMP-02-0237,U Tin Aye,Matman,Shan,Independent,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
NA,Col. Than Aung,NA,NA,Military,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
LWMP-02-0075,U In Htone Khar Naw Sam,Myitkyina,Kachin,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/02/2016,“ ရှမ်းပြည်နယ် အရှေ့မြောက်ဒေသ၊ သိန်နှီ၊ ကွတ်ခိုင်၊ မူဆယ်၊ နမ့်ခမ်း၊ နမ္မတူနှင့် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်တို့တွင် KIA MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,MNDAA နှင့် TNLA ပူးပေါင်းအဖွဲ့တို့မှ ရည်ရွယ်ချက်ရှိရှိ ပစ်ခတ်၊ မိုင်းထောင်မှု၊ ဖျက်ဆီးမှု၊ ဗုံးခွဲမှုများကြောင့် အပြစ်မဲ့ ပြည်သူများ သေကြေခြင်း၊ ဒဏ်ရာရခြင်းနှင့် အိုးအိမ်စွန့်ခွာစစ်ပြေးဒုက္ခသည် ဘဝရောက်ခြင်းနှင့် နိုင်ငံ၏ အချုပ်အခြာတည်မြဲမှု၊ တရားဥပဒေ စိုးမိုးရေးနှင့် တည်ငြိမ်အေးချမ်းမှုနှင့် ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ် တို့အား ထိခိုက်စေခြင်း တို့ကို လွှတ်တော်မှ စိုးရိမ်ကြောင်း”,Recorded,NA,NA
LWMP-02-0104,U Kyaw Tin,Saw,Magway,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Second Regular Session,Oral Question,09/12/2016,“ အားပြင်းသော လက်နက်ခဲယမ်း ” များ တွင်ကျယ်စွာ အသုံးပြုနေမှုတို့ကြောင့် အပြစ်မဲ့ ပြည်သူများ၏ ဘဝလုံခြုံမှုမရှိဘဲ ဖြစ်နေခြင်းတို့ကို သက်ဆိုင်ရာမှ မည်သို့ ကူညီပေးနေသည်နှင့် အသုံးပြုမှုလျော့နည်းသွားစေရန်မည်သို့စီမံဆောင်ရွက် ထားသည်ကို သိရှိလို။,Land Grab,Negative,Scrutiny,Ministry of Defence
LWMP-02-0310,U Myint Lwin,Pazundaung,Yangon,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Oral Question,12/14/2016,“၂၀၀၈ ဖွဲ့စည်းပုံအခြေခံ ဥပဒေ ၃၅၃ အရ မည်သူ့ကိုမျှ တည်ဆဲဥပဒေနှင့် အညီမှတစ်ပါး အသက်ကိုဖြစ်စေ၊ ပုဂ္ဂိုလ်ဆိုင်ရာ လွတ်လပ်မှုကို ဖြစ်စေ နစ်နာဆုံးရှုံးမှု မရှိစေရ” ဟု ပြဋ္ဌာန်းထားပါလျက် နိုင်ငံခြားရေး ဝန်ကြီးဌာနမှ အပျို၊ လူပျို ဖြစ်ကြောင်း ကျမ်းကျိန်လွှာ (နိုတြီ) အပေါ် ထောက်ခံချက်ပေးရန် ငြင်းဆန်နေခြင်းကို ဖျက်သိမ်းပေးရန် အစီအစဉ်ရှိ/မရှိ,,NA,NA,Ministry of Foreign Affairs
LWMP-02-0050,U Myint Oo,Thanatpin,Bago,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Motion,11/23/2016,“ပဲခူးမြို့ ကန်တော်ကြီး ရေဝေရေလဲ ဒေသအား စနစ်တကျ ထိန်းသိမ်းစောင့်ရှောက်နိုင်ရန်နှင့် မြို့လူထုအန္တရာယ်ကင်းသော သောက်သုံးရေရရှိရေး အတွက် ကန်တော်ကြီးရေဝေရေလဲရေဆင်းဧရိယာအတွင်း ပုဂ္ဂလိက လုပ်ပိုင်ခွင့်များအား ပြန်လည် ရုပ်သိမ်း၍ သဘာဝသစ်တော ကန့်သတ်နယ်မြေအဖြစ် ပြန်လည်သတ်မှတ်ပေးပါရန် ပြည်ထောင်စု အစိုးရသို့ တိုက်တွန်းကြောင်း ”,NA,Postpone,NA,
LWMP-02-0288,Daw Aye Mya Mya Myo,Kyauktan,Yangon,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Motion,11/17/2016,“အိမ်အကူအလုပ်သမားများအပါအဝင် အလုပ်သမား များခန့်ထားရာတွင် ပြဋ္ဌာန်းထားသော ဥပဒေနှင့် အညီ အလုပ်သမား မှတ်ပုံတင်ထားပြီးမှ ခန့်ထားရန် နှင့် အလုပ်ရှင်များမှ အလုပ်သမားများကို အဓမ္မခိုင်းစေခြင်း၊ ညှင်းပန်းနှိပ်စက်ခြင်း ကဲ့သို့သော ဥပဒေမဲ့ လုပ်ရပ်များ မလုပ်နိုင်ရန် ကာကွယ်တားဆီးပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း”,NA,Recorded,NA,"Ministry of Labours, Immigration and Population"
LWMP-02-0032,Dr. U Myint Thein,Nyaunglebin,Bago,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,11/22/2016,“အိမ်အကူအလုပ်သမားများအပါအဝင် အလုပ်သမား များခန့်ထားရာတွင် ပြဋ္ဌာန်းထားသော ဥပဒေနှင့် အညီ အလုပ်သမား မှတ်ပုံတင်ထားပြီးမှ ခန့်ထားရန် နှင့် အလုပ်ရှင်များမှ အလုပ်သမားများကို အဓမ္မခိုင်းစေခြင်း၊ ညှင်းပန်းနှိပ်စက်ခြင်း ကဲ့သို့သော ဥပဒေမဲ့ လုပ်ရပ်များ မလုပ်နိုင်ရန် ကာကွယ်တားဆီးပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း”,NA,Recorded,NA,NA
LWMP-02-0089,Saw Tin Win,Kyainseikgyi,Kayin,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,11/22/2016,“အိမ်အကူအလုပ်သမားများအပါအဝင် အလုပ်သမား များခန့်ထားရာတွင် ပြဋ္ဌာန်းထားသော ဥပဒေနှင့် အညီ အလုပ်သမား မှတ်ပုံတင်ထားပြီးမှ ခန့်ထားရန် နှင့် အလုပ်ရှင်များမှ အလုပ်သမားများကို အဓမ္မခိုင်းစေခြင်း၊ ညှင်းပန်းနှိပ်စက်ခြင်း ကဲ့သို့သော ဥပဒေမဲ့ လုပ်ရပ်များ မလုပ်နိုင်ရန် ကာကွယ်တားဆီးပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း”,NA,Recorded,NA,NA
LWMP-02-0198,U Maung Myint,Mingin,Sagaing,USDP,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,11/22/2016,“အိမ်အကူအလုပ်သမားများအပါအဝင် အလုပ်သမား များခန့်ထားရာတွင် ပြဋ္ဌာန်းထားသော ဥပဒေနှင့် အညီ အလုပ်သမား မှတ်ပုံတင်ထားပြီးမှ ခန့်ထားရန် နှင့် အလုပ်ရှင်များမှ အလုပ်သမားများကို အဓမ္မခိုင်းစေခြင်း၊ ညှင်းပန်းနှိပ်စက်ခြင်း ကဲ့သို့သော ဥပဒေမဲ့ လုပ်ရပ်များ မလုပ်နိုင်ရန် ကာကွယ်တားဆီးပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း”,NA,Recorded,NA,NA
LWMP-02-0046,Daw Mya Kwarnyo Oo,Shwedaung,Bago,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,11/22/2016,“အိမ်အကူအလုပ်သမားများအပါအဝင် အလုပ်သမား များခန့်ထားရာတွင် ပြဋ္ဌာန်းထားသော ဥပဒေနှင့် အညီ အလုပ်သမား မှတ်ပုံတင်ထားပြီးမှ ခန့်ထားရန် နှင့် အလုပ်ရှင်များမှ အလုပ်သမားများကို အဓမ္မခိုင်းစေခြင်း၊ ညှင်းပန်းနှိပ်စက်ခြင်း ကဲ့သို့သော ဥပဒေမဲ့ လုပ်ရပ်များ မလုပ်နိုင်ရန် ကာကွယ်တားဆီးပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း”,NA,Recorded,NA,NA
LWMP-02-0268,Daw Tin Tin Yee,Kyunsu,Taninthayi,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,11/22/2016,“အိမ်အကူအလုပ်သမားများအပါအဝင် အလုပ်သမား များခန့်ထားရာတွင် ပြဋ္ဌာန်းထားသော ဥပဒေနှင့် အညီ အလုပ်သမား မှတ်ပုံတင်ထားပြီးမှ ခန့်ထားရန် နှင့် အလုပ်ရှင်များမှ အလုပ်သမားများကို အဓမ္မခိုင်းစေခြင်း၊ ညှင်းပန်းနှိပ်စက်ခြင်း ကဲ့သို့သော ဥပဒေမဲ့ လုပ်ရပ်များ မလုပ်နိုင်ရန် ကာကွယ်တားဆီးပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း”,NA,Recorded,NA,NA
LWMP-02-0293,Dr. U Aye Min,Kayan,Yangon,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,11/22/2016,“အိမ်အကူအလုပ်သမားများအပါအဝင် အလုပ်သမား များခန့်ထားရာတွင် ပြဋ္ဌာန်းထားသော ဥပဒေနှင့် အညီ အလုပ်သမား မှတ်ပုံတင်ထားပြီးမှ ခန့်ထားရန် နှင့် အလုပ်ရှင်များမှ အလုပ်သမားများကို အဓမ္မခိုင်းစေခြင်း၊ ညှင်းပန်းနှိပ်စက်ခြင်း ကဲ့သို့သော ဥပဒေမဲ့ လုပ်ရပ်များ မလုပ်နိုင်ရန် ကာကွယ်တားဆီးပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း”,NA,Recorded,NA,NA
