MPID,Name,Constituency,Region,Party,Gender,Ethnicity,Religion,DoB,Previous_Occupation,Term,Parliament,Start_Date,End_Date,image
LWMP-02-0096,U Sein Han,Kamma,Magway,NLD,Male,Shan,Buddhist,10/24/1943,Pyithu Hluttaw MP,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_084.jpg
LWMP-02-0097,U Bo Gyi,Chauk,Magway,NLD,Male,Kachin,Christian,10/12/1970,စားသောက်ဆိုင်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_012.jpg
LWMP-02-0098,Daw Yin Min Hlaing,Gangaw,Magway,NLD,Female,Chin,Christian,01/29/1960,ကျောင်းဆရာမ(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0053.jpg
LWMP-02-0099,U Soe Myint (or)  Soe Lwin,Ngape,Magway,NLD,Male,La Hu,Christian,02/12/1968,ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0005.jpg
LWMP-02-0100,U Kan Oo,Salin,Magway,NLD,Male,Pao,Buddhist,03/08/1950,ဗဟိုဥက္ကဋ္ဌ - ပအိုဝ်းလူငယ်ကွန်ယက်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0179.jpg
LWMP-02-0101,U Kyaw Aung Lwin,Sidoktaya,Magway,NLD,Male,Bamar,Buddhist,07/06/1966,ကဖေး အအေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0009.jpg
LWMP-02-0102,U Nay Htet Win,Sinbaungwe,Magway,NLD,Male,Bamar,Buddhist,07/21/1955,စက်ပြင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0021.jpg
LWMP-02-0103,U Aung Thike,Seikphyu,Magway,NLD,Male,Bamar,Buddhist,11/05/1989,ကိုယ်ပိုင်နည်းပြသင်တန်းဆရာ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150820_044.jpg
LWMP-02-0104,U Kyaw Tin,Saw,Magway,NLD,Male,Bamar,Buddhist,04/13/1975,ဒီလှိုင်းဂျာနယ် အယ်ဒီတာ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0060.jpg
LWMP-02-0105,U Min Thein,Taungdwingyi,Magway,NLD,Male,Bamar,Buddhist,09/21/1985,Cultivator,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_018.jpg
LWMP-02-0106,U Myat Lay Oo,Tilin,Magway,NLD,Male,Bamar,Buddhist,04/30/1949,Bleeding,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0056.jpg
LWMP-02-0107,U Aung Tin Lynn,Natmauk,Magway,NLD,Male,Bamar,Buddhist,03/24/1986,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_033.jpg
LWMP-02-0108,U Pike Ko,Pakokku,Magway,NLD,Male,Shan,Buddhist,05/06/1950,လက်ကောက်မြို့နယ်၊ ပညာရေးမှူး (ငြိမ်း)၊ ပြည်သူ့လွှတ်တော်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150820_047.jpg
LWMP-02-0109,U Tun Tun,Pwintbyu,Magway,NLD,Male,Bamar,Buddhist,01/22/1949,ကထိက(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0016.jpg
LWMP-02-0110,U Ye Win Tun,Pauk,Magway,NLD,Male,Bamar,Buddhist,11/27/1952,Merchant,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0038.jpg
LWMP-02-0111,U Myint Oo,Magway,Magway,NLD,Male,Bamar,Buddhist,05/01/1966,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_003.jpg
LWMP-02-0112,U Khin Than Nu,Mindon,Magway,NLD,Male,Bamar,Buddhist,12/03/1968,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0027.jpg
LWMP-02-0113,U Win Win,Minbu,Magway,NLD,Male,Bamar,Buddhist,06/14/1976,Cultivator,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0176.jpg
LWMP-02-0114,U Kyaw Gyi (or)  Ohn Khin,Minhla,Magway,NLD,Male,Bamar,Buddhist,06/14/1963,စီးပွားရေးအကြံပေး (Business Consultant),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0025.jpg
LWMP-02-0115,U Thar Aung,Myothit,Magway,NLD,Male,ကယော,Christian,07/11/1982,Agricultural,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_026.jpg
LWMP-02-0116,U Aung Khin Win,Myaing,Magway,NLD,Male,Bamar,Buddhist,09/07/1952,အဖွဲ့ချုပ်ဗဟိုရုံးအဖွဲ့ဝင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150820_041.jpg
LWMP-02-0117,Dr. U Tin Htay Aung (or)  Toe Shwe,Yesagyo,Magway,NLD,Male,Chin,Christian,11/01/1965,ပါမောက္ခ (အငြိမ်းစား),Second,Pyithu Hluttaw,02/01/2016, ,0
LWMP-02-0118,U Thar Cho (or)  Tin Kyaing,Yenangyaung,Magway,NLD,Male,Kachin,Christian,12/15/1963,ဥပဒေညွှန်ကြားရေးမှူး၊ ရှေ့နေချုပ်ရုံး(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_010.jpg
LWMP-02-0119,U Kan Myint,Thayetchaung,Magway,NLD,Male,Bamar,Buddhist,01/22/1946,ယက္ကန်း,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0031.jpg
LWMP-02-0120,U Aung Htoo Myint,Aunglan,Magway,NLD,Male,Bamar,Buddhist,08/22/1946,မော်တော်ဆိုင်ကယ်ရောင်းဝယ်ရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_094.jpg
LWMP-02-0121,Dr. U Tin Aung,Kyaukse,Mandalay,NLD,Male,Bamar,Christian,08/13/1965,Doctor,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0122,U Shwe Ko,Kyaukpadaung,Mandalay,NLD,Male,Kayin,Christian,07/28/1944,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_001.jpg
LWMP-02-0123,Dr. Sai Sai Hla Thein,Chanmyathazi,Mandalay,NLD,Male,Bamar,Buddhist,06/24/1966,Chief Medical Officer(CMO; MCCi)ရတနာပုံ ပြင်ဦးလွင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150826_0015.jpg
LWMP-02-0124,U Myo Naing,Chanayethazan,Mandalay,NLD,Male,Bamar,Buddhist,03/16/1965,Company,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0125,U Min Thein,Ngazun,Mandalay,NLD,Male,Bamar,Buddhist,06/15/1954,တိုင်းရင်းဆေးဆရာ/လမင်းသစ္စာတိုင်းရင်းဆေးဝါးထုတ်လုပ်ရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_023.jpg
LWMP-02-0126,Dr. Daw Kyi Moet Moet Lwin,Sintgaing,Mandalay,NLD,Female,Bamar,Buddhist,04/10/1973,ကဗျာ၊ ဆောင်းပါးရေးသားခြင်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0029.jpg
LWMP-02-0127,Dr. U Zaw Win Myint,Singu,Mandalay,NLD,Male,Bamar,Buddhist,04/23/1951,ဒါရိုက်တာအဖွဲ့ဝင် (အချိန်ပိုင်း) ၊ Free Ways Services Co.Ltd. ရန်ကုန်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0008.jpg
LWMP-02-0128,U Saw,Nyaung-U,Mandalay,NLD,Male,Shan,Buddhist,06/11/1959,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_003.jpg
LWMP-02-0129,U Soe Nwe Aye,Tada-U,Mandalay,NLD,Male,Bamar,Buddhist,08/13/1983,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0038.jpg
LWMP-02-0130,U Sit Aye,Taungtha,Mandalay,NLD,Male,Kayin,Buddhist,03/19/1986,Merchant,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_015.jpg
LWMP-02-0131,U Naing Htoo Aung,Natogyi,Mandalay,NLD,Male,Mon-Bamar-Chinese,Buddhist,02/10/1958,ရော်ဘာခြံလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_017.jpg
LWMP-02-0132,U Thaung Aye,Pyawbwe,Mandalay,USDP,Male,Bamar,Buddhist,07/05/1956,Private Teacher,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_005.jpg
LWMP-02-0133,Dr. U Aung Khin,Pyinoolwin,Mandalay,NLD,Male,Bamar,Buddhist,09/21/1972,ပုဂ္ဂလိကဆေးခန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0002.jpg
LWMP-02-0134,U Kyaw Soe Lynn,Pyigyitagon,Mandalay,NLD,Male,Kokang,Buddhist,06/08/1953,ပါတီတွဲဖက်အတွင်းရေးမှူး (ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150826_0017.jpg
LWMP-02-0135,U Thang Htay Lynn,Patheingyi,Mandalay,NLD,Male,Bamar,Buddhist,11/08/1951,Seller,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0220.jpg
LWMP-02-0136,U Zaw Min Lwin,Madaya,Mandalay,NLD,Male,Bamar,Buddhist,08/20/1952,ဈေးသည်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0006.jpg
LWMP-02-0137,U Thet Lwin (or) Paw Khin,Myingyan,Mandalay,NLD,Male,Bamar,Buddhist,04/06/1938,ဖုန်းဆိုင်၊ မိတ္တူ၊ ဖိတ်စာ,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_009.jpg
LWMP-02-0138,Dr. U Lynn Lynn Kyaw,Myittha,Mandalay,NLD,Male,Bamar,Buddhist,02/12/1946,ကိုယ်ပိုင်ဆေးခန်း၊ ဆန်စက်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0031.jpg
LWMP-02-0139,U Hla Tun Aung (or)  MAung MAung,Mahlaing,Mandalay,NLD,Male,Bamar,Buddhist,04/20/1960,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0140,U Nyein Thit (or)  Thang Tun,Mahaaungmyay,Mandalay,NLD,Male,Bamar,Buddhist,04/06/1949,ကိုယ်ပိုင်သင်တန်းဆရာ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150826_0011.jpg
LWMP-02-0141,Dr. U Maung Thin,Meiktila,Mandalay,USDP,Male,Chin-Barmar,Buddhist,12/25/1963,အထွေထွေရောဂါကုဆရာဝန်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150817_0058.jpg
LWMP-02-0142,U Aung Naing (or) Naingan Kyaw,Mogoke,Mandalay,NLD,Male,Bamar,Buddhist,06/24/1944,သီရိဇေယျာပုံနှိပ်တိုက်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0015.jpg
LWMP-02-0143,U Ko Ko Naing,Yamethin,Mandalay,USDP,Male,Taung Tarr,Buddhist,06/15/1973,စိုက်ပျိုးရေးလုပ်ငန်း၊ သီးနှံဝယ်/ရောင်းလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150818_0005.jpg
LWMP-02-0144,U Khin Maung Soe,Wundwin,Mandalay,NLD,Male,Bamar,Buddhist,12/23/1971,MD FEVS Safety Sc Security Group Co.Ltd,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150817_0070.jpg
LWMP-02-0145,Dr. U Aung Naing,Thabeikkyin,Mandalay,NLD,Male,Bamar,Buddhist,10/26/1965,ပြင်ပဆေးကုခန်းတာဝန်ခံဆရာဝန်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0013.jpg
LWMP-02-0146,U Min Ko Ko,Thazi,Mandalay,NLD,Male,Bamar,Buddhist,09/13/1979,Writer,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0043.jpg
LWMP-02-0147,U Soe Myint (or)  Aung Zaw Myint,Amarapura,Mandalay,NLD,Male,Bamar,Buddhist,12/30/1952,Agricultural,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150826_0020.jpg
LWMP-02-0148,Dr. U Hla Moe,Aungmyaythazan,Mandalay,NLD,Male,Bamar,Buddhist,01/01/1969,ပြင်ပဆေးကုသမှုဆရာဝန်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_F_20150826_0001.jpg
LWMP-02-0149,Dr. U Khin San,Kyaikto,Mon,NLD,Male,Bamar,Buddhist,01/09/1948,Doctor,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0020.jpg
LWMP-02-0150,Saw Kyaw Win Maung,Kyaikmaraw,Mon,NLD,Male,Bamar,Buddhist,07/02/1952,Private Teacher,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0614.jpg
LWMP-02-0151,Daw Khin Htay Kywe,Chaungzon,Mon,NLD,Female,Bamar,Buddhist,07/02/1950,Lawyer,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0617.jpg
LWMP-02-0152,Mi Kon Chan,Paung,Mon,NLD,Female,Bamar,Buddhist,05/04/1973,Doctor,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0010.jpg
LWMP-02-0153,U Tin Ko Ko Oo (or) Att,Bilin,Mon,NLD,Male,Bamar,Buddhist,09/19/1948,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0021.jpg
LWMP-02-0154,U Tun,Mudon,Mon,NLD,Male,Bamar,Buddhist,05/29/1960,မြို့နယ်ပညာရေးမှူး,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0052.jpg
LWMP-02-0155,U Naing Thaung Nyunt,Mawlamyine,Mon,NLD,Male,Bamar,Buddhist,06/11/1955,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0609.jpg
LWMP-02-0156,Dr. U Aung Tun Khaing (or)  Chain Win,Ye,Mon,NLD,Male,Bamar,Buddhist,12/16/1972,အငြိမ်းစား(နား၊နှာခေါင်း၊လည်ချောင်းအထူးကုဆရာဝန်ကြီး),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0062.jpg
LWMP-02-0157,U Nyan Hein,Thanbyuzayat,Mon,NLD,Male,Rakhine,Buddhist,09/16/1973,ဆိုင်သည်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0042.jpg
LWMP-02-0158,Daw Mar Mar Khaing,Thaton,Mon,NLD,Female,Rakhine,Buddhist,01/01/1961,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0001.jpg
LWMP-02-0159,U Oo Tun Win,Kyauktaw,Rakhine,ANP,Male,Shan,Buddhist,12/15/1955,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150901_0031.jpg
LWMP-02-0160,U Ba Shein,Kyaukpyu,Rakhine,ANP,Male,Bamar,Buddhist,06/24/1947,သတင်းစာကိုယ်စားလှယ်(LBO),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150901_0047.jpg
LWMP-02-0161,U Myint Wai,Gwa,Rakhine,NLD,Male,Bamar,Buddhist,05/20/1977,စားသောက်ဆိုင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150901_044.jpg
LWMP-02-0162,U Maung Thein Khaing,Sittwe,Rakhine,ANP,Male,Bamar,Buddhist,05/02/1956,Seller,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150901_074.jpg
LWMP-02-0163,Daw Ni Ni May Myint,Toungup,Rakhine,NLD,Female,Bamar,Buddhist,11/06/1969,Teacher,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150901_051.jpg
LWMP-02-0164,U Oo Tun Maung,Ponnagyun,Rakhine,ANP,Male,Shan,Buddhist,08/09/1967,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150901_017.jpg
LWMP-02-0165,U Aung Kyaw Zan,Pauktaw,Rakhine,ANP,Male,Bamar,Buddhist,09/18/1982,Retired,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150901_026.jpg
LWMP-02-0166,U Aung Thaung Shwe,Buthidaung,Rakhine,ANP,Male,Shan,Buddhist,08/17/1950,Military (retired),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150903_034.jpg
LWMP-02-0167,U Sit Naing,Minbya,Rakhine,ANP,Male,Kayin,Christian,01/18/1981,(အငြိမ်းစား)ကျောင်းဆရာ ၊ ပညာရေးဌာန,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150901_0064.jpg
LWMP-02-0168,U Pe Than,Myebon,Rakhine,ANP,Male,Shan,Buddhist,01/03/1962,ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150901_0049.jpg
LWMP-02-0169,U Oo Hla Saw,Mrauk-U,Rakhine,ANP,Male,Shan,Buddhist,09/28/1966,လယ်/ခြံ တောင်သူ,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150901_085.jpg
LWMP-02-0170,U Tin Nu (or) Tin Nu Aung,Munaung,Rakhine,NLD,Male,Bamar,Buddhist,01/20/1976,Merchant,Second,Pyithu Hluttaw,02/01/2016, ,0
LWMP-02-0171,U Hla Tun Kyaw,Maungdaw,Rakhine,ANP,Male,Bamar,Buddhist,06/28/1981,Pyithu Hluttaw MP,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150903_026.jpg
LWMP-02-0172,U Kyaw Shwe,Ramree,Rakhine,ANP,Male,Kokang,Buddhist,10/28/1961,လျှပ်စစ်ဓါတ်အားဖြန့်ဖြူးရေးလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150901_0051.jpg
LWMP-02-0173,Daw Khin Saw Wai,Rathedaung,Rakhine,ANP,Female,Bamar,Buddhist,12/12/1970,Housewife,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150901_121.jpg
LWMP-02-0174,U Min Kyi,Thandwe,Rakhine,NLD,Male,Bamar,Buddhist,11/21/1965,Lawyer,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150901_0084.jpg
LWMP-02-0175,U Thein Swe,Ann,Rakhine,USDP,Male,Bamar,Buddhist,06/26/1948,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150901_0034.jpg
LWMP-02-0176,U Tun Tun Naing,Kani,Sagaing,NLD,Male,Shan-Barmar,Buddhist,11/17/1966,Jade Seller,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0068.jpg
LWMP-02-0177,Dr. U Hlaing Myint Han,Kanbalu,Sagaing,NLD,Male,Bamar,Buddhist,01/12/1975,တိ/မွေးကုဆရာဝန် -မွေးမြူရေးလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0080.jpg
LWMP-02-0178,U Tun Win,Kyunhla,Sagaing,NLD,Male,Bamar,Buddhist,05/10/1967,အုတ်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0070.jpg
LWMP-02-0179,Daw Aye Aye Mu (or) Shar Mi,Kale,Sagaing,NLD,Female,Chin,Christian,12/10/1952,Housewife,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0180,U Than Tun Myint,Kalewa,Sagaing,NLD,Male,Bamar,Buddhist,12/29/1972,ခြံစိုက်ပျိုးရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_030.jpg
LWMP-02-0181,U Myint Kyi,Katha,Sagaing,NLD,Male,Bamar,Buddhist,02/16/1954,ပညာရေး(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_074.jpg
LWMP-02-0182,U Myo Zaw Aung,Kawlin,Sagaing,NLD,Male,Htarr Wel,Buddhist,01/01/1968,မြို့ပြအင်ဂျင်နီယာ၊ အင်္ဂလိပ်ဘာသာစကားသင်တန်းဆရာ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_108.jpg
LWMP-02-0183,Dr. U Win Aung,Khin-U,Sagaing,NLD,Male,Bamar,Buddhist,11/10/1960,တိရိစ္ဆာန်ဆေးကုဆရာဝန်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0111.jpg
LWMP-02-0184,U Aung Than Sein,Hkamti,Sagaing,NLD,Male,Bamar,Buddhist,11/03/1947,Cultivator,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_053.jpg
LWMP-02-0185,U Myo,Chaung-U,Sagaing,NLD,Male,Bamar,Buddhist,06/02/1953,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0019.jpg
LWMP-02-0186,U Khin Maung Thein,Sagaing,Sagaing,NLD,Male,Bamar,Buddhist,11/07/1958,Agricultural,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_005.jpg
LWMP-02-0187,U Win Thein Zaw,Salingyi,Sagaing,NLD,Male,Bamar,Buddhist,11/01/1962,သတ္တုတွင်းအင်ဂျင်နီယာ,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0055.jpg
LWMP-02-0188,U Myint Tun,Taze,Sagaing,NLD,Male,Bamar,Buddhist,07/13/1951,ပျိုးဥယျာဉ်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0086.jpg
LWMP-02-0189,U Naing Naing Win,Tamu,Sagaing,NLD,Male,Bamar,Buddhist,10/16/1956,ဒုတိယသမ္မတ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_037.jpg
LWMP-02-0190,U Maung Maung,Tigyaing,Sagaing,NLD,Male,Bamar,Buddhist,06/30/1957,Cultivator,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_081.jpg
LWMP-02-0191,U Win Myint Aung,Tabayin,Sagaing,NLD,Male,Bamar,Buddhist,01/22/1946,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0101.jpg
